LearneCN — vocabulary filter report

Generated by tools/filter-vocabulary.py. Every line is a change that
tool made to the shipped data. "trigger" is the word that caused it;
the offending definitions themselves are not repeated here.

Official HSK 1-6 vocabulary is never deleted. The most that happens to
an HSK word is that one sense is dropped from its gloss.

779 headwords are gone from the data entirely.
967 practice questions were about one of them and went with it.
1810 more had an obscene wrong answer swapped for a clean one and were kept.

------------------------------------------------------------------------------
file          word       reading          action                           category   trigger
cedict.json   啪啪啪        pa1 pa1 pa1      removed                          sexual     have sex
cedict.json   嘿咻         hei1 xiu1        removed                          sexual     make love
cedict.json   堵床上        du3 chuang2 sha  removed                          sexual     adulterous
cedict.json   外阴         wai4 yin1        removed                          sexual     vulva
cedict.json   失身         shi1 shen1       sense dropped                    sexual     virginity
cedict.json   套儿         tao4 r5          sense dropped                    sexual     condom
cedict.json   套套         tao4 tao5        sense dropped                    sexual     condom
cedict.json   套子         tao4 zi5         sense dropped                    sexual     condom
cedict.json   女优         nu:3 you1        sense dropped                    sexual     adult film
cedict.json   女阴         nu:3 yin1        removed                          sexual     vulva
cedict.json   奸          jian1            removed                          sexual     fornicate
cedict.json   奸夫淫妇       jian1 fu1 yin2   removed                          sexual     adulterous
cedict.json   奸宿         jian1 su4        removed                          sexual     fornicate
cedict.json   奸尸         jian1 shi1       removed                          sexual     have sex
cedict.json   奸情         jian1 qing2      removed                          sexual     adultery
cedict.json   奸杀         jian1 sha1       removed                          sexual     rape
cedict.json   奸污         jian1 wu1        removed                          sexual     review
cedict.json   奸淫         jian1 yin2       removed                          sexual     illicit sex
cedict.json   她经济        ta1 jing1 ji4    sense dropped                    sexual     prostitution
cedict.json   好色         hao4 se4         sense dropped                    sexual     lecherous
cedict.json   好色之徒       hao4 se4 zhi1 t  sense dropped                    sexual     lecher
cedict.json   如夫人        ru2 fu1 ren5     removed                          sexual     concubine
cedict.json   如意套        ru2 yi4 tao4     removed                          sexual     condom
cedict.json   妃          fei1             removed                          sexual     concubine
cedict.json   妃嫔         fei1 pin2        removed                          sexual     concubine
cedict.json   妃子         fei1 zi5         removed                          sexual     concubine
cedict.json   妃子笑        fei1 zi5 xiao4   sense dropped                    sexual     concubine
cedict.json   妈卖批        ma1 mai4 pi1     removed                          sexual     prostitute
cedict.json   妈妈桑        ma1 ma5 sang1    removed                          sexual     review
cedict.json   妓          ji4              removed                          sexual     prostitute
cedict.json   妓女         ji4 nu:3         removed                          sexual     prostitute
cedict.json   妓寨         ji4 zhai4        removed                          sexual     brothel
cedict.json   妓院         ji4 yuan4        removed                          sexual     brothel
cedict.json   妓馆         ji4 guan3        removed                          sexual     brothel
cedict.json   妖姬         yao1 ji1         removed                          sexual     concubine
cedict.json   妖媚         yao1 mei4        sense dropped                    sexual     seductive
cedict.json   妲己         Da2 ji3          removed                          sexual     concubine
cedict.json   妻妾         qi1 qie4         removed                          sexual     concubines
cedict.json   妾          qie4             sense dropped                    sexual     concubine
cedict.json   妾侍         qie4 shi4        removed                          sexual     concubines
cedict.json   姒          si4              sense dropped                    sexual     concubine
cedict.json   姘妇         pin1 fu4         sense dropped                    sexual     concubine
cedict.json   姤          gou4             removed                          sexual     review
cedict.json   姨太太        yi2 tai4 tai5    removed                          sexual     concubine
cedict.json   姨娘         yi2 niang2       sense dropped                    sexual     concubine
cedict.json   姫          ji1              sense dropped                    sexual     concubine
cedict.json   姬          ji1              sense dropped                    sexual     concubine
cedict.json   姬妾         ji1 qie4         removed                          sexual     concubine
cedict.json   娇态         jiao1 tai4       sense dropped                    sexual     lascivious
cedict.json   娈童         luan2 tong2      sense dropped                    sexual     catamite
cedict.json   娈童恋        luan2 tong2 lia  removed                          sexual     pederasty
cedict.json   娈童者        luan2 tong2 zhe  removed                          sexual     molester
cedict.json   娘娘         niang2 niang5    sense dropped                    sexual     concubine
